Fetched 10647 Record(s) from HAMS Devices

insert into att_raw_data values('null', '2025-08-25', '460', '460', '', '09:18:35', '0', 'PAS4240900544', '', 'ZKT-PAS4240900544');
insert into att_raw_data values('null', '2025-08-25', '9050', '9050', '', '09:18:36', '0', 'A8N5232360384', '', 'ZKT-A8N5232360384');
insert into att_raw_data values('null', '2025-08-25', '1478', '1478', '', '09:18:44', '0', 'PAS4240900544', '', 'ZKT-PAS4240900544');
insert into att_raw_data values('null', '2025-08-25', '473', '473', '', '09:18:46', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '1445', '1445', '', '09:18:50', '0', 'A8N5232360379', '', 'ZKT-A8N5232360379');
insert into att_raw_data values('null', '2025-08-25', '1585', '1585', '', '09:18:58', '0', 'A8N5232360706', '', 'ZKT-A8N5232360706');
insert into att_raw_data values('null', '2025-08-25', '1444', '1444', '', '09:19:06', '0', 'A8N5232360747', '', 'ZKT-A8N5232360747');
insert into att_raw_data values('null', '2025-08-25', '500', '500', '', '09:19:09', '0', 'A8N5232360857', '', 'ZKT-A8N5232360857');
insert into att_raw_data values('null', '2025-08-25', '210', '210', '', '09:19:11', '0', 'A8N5232360015', '', 'ZKT-A8N5232360015');
insert into att_raw_data values('null', '2025-08-25', '738', '738', '', '09:19:13', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '874', '874', '', '09:19:13', '0', 'A8N5232360667', '', 'ZKT-A8N5232360667');
insert into att_raw_data values('null', '2025-08-25', '1035', '1035', '', '09:19:15', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '1120', '1120', '', '09:19:19', '0', 'CQQC232361249', '', 'ZKT-CQQC232361249');
insert into att_raw_data values('null', '2025-08-25', '819', '819', '', '09:19:19', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '1444', '1444', '', '09:19:19', '0', 'A8N5232360747', '', 'ZKT-A8N5232360747');
insert into att_raw_data values('null', '2025-08-25', '1583', '1583', '', '09:19:29', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '1110', '1110', '', '09:19:39', '0', 'A8N5232360371', '', 'ZKT-A8N5232360371');
insert into att_raw_data values('null', '2025-08-25', '1428', '1428', '', '09:19:48', '0', 'A8N5232360405', '', 'ZKT-A8N5232360405');
insert into att_raw_data values('null', '2025-08-25', '468', '468', '', '09:20:04', '0', 'A8N5232360746', '', 'ZKT-A8N5232360746');
insert into att_raw_data values('null', '2025-08-25', '534', '534', '', '09:20:08', '0', 'CQQC232361249', '', 'ZKT-CQQC232361249');
insert into att_raw_data values('null', '2025-08-25', '7054', '7054', '', '09:20:24', '0', 'A8N5232360027', '', 'ZKT-A8N5232360027');
insert into att_raw_data values('null', '2025-08-25', '326', '326', '', '09:20:24', '0', 'A8N5232360379', '', 'ZKT-A8N5232360379');
insert into att_raw_data values('null', '2025-08-25', '9056', '9056', '', '09:20:28', '0', 'A8N5232360031', '', 'ZKT-A8N5232360031');
insert into att_raw_data values('null', '2025-08-25', '890', '890', '', '09:20:32', '0', 'A8N5232360589', '', 'ZKT-A8N5232360589');
insert into att_raw_data values('null', '2025-08-25', '1537', '1537', '', '09:20:39', '0', 'A8N5232360666', '', 'ZKT-A8N5232360666');
insert into att_raw_data values('null', '2025-08-25', '768', '768', '', '09:20:53', '0', 'A8N5231260519', '', 'ZKT-A8N5231260519');
insert into att_raw_data values('null', '2025-08-25', '889', '889', '', '09:20:54', '0', 'A8N5232360426', '', 'ZKT-A8N5232360426');
insert into att_raw_data values('null', '2025-08-25', '7051', '7051', '', '09:20:54', '0', 'A8N5232360393', '', 'ZKT-A8N5232360393');
